#Strain(-)	Stress(Pa)
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
0 0 0 0 0 0                   0 0 0 0 0 0
